id,text,type,is_gating,source_page,source_clause,notes
# ANSWER KEY — WLWA Acton Infrastructure ITT  (data/tenders/WLWA-ACTON-INFRASTUCTURE-ITT_010324.pdf)
# Owner: Jawad (see comms J-072).  MUST be filled in BY HAND from reading the PDF — not from the
# tool's output, not from ChatGPT/Claude. This is the human answer key our "100% deal-breakers"
# claim is measured against; if it comes from any AI it measures the tool against itself.
#
# HOW TO FILL IN:
#   - Add ONE ROW per DEAL-BREAKER you find (a rule that DISQUALIFIES a bid if missed/failed).
#   - Lines starting with # are ignored — add your real rows BELOW, with NO leading #.
#   - Columns: id,text,type,is_gating,source_page,source_clause,notes
#       id           = g1, g2, g3 ...            (just number them)
#       text         = the rule (your words or a short quote)
#       type         = mandatory
#       is_gating    = yes                       (every row in this file is a deal-breaker)
#       source_page  = the PDF page you saw it on
#       source_clause= the section/heading, e.g. "6.3 Submission"  (or leave blank)
#       notes        = one line: why it's a deal-breaker
#   - Quote text containing commas in "double quotes" (like the example below).
#
# FORMAT EXAMPLE (from a DIFFERENT tender — do NOT keep it; write WLWA's real ones):
#   g1,"Tenders must be received no later than 12:00 on the closing date; late tenders are rejected.",mandatory,yes,6,"Submission",submission deadline
#
# ---- your rows below this line (no leading #) ----
g1,"The contractor must supply and build the required temporary infrastructure as outlined in the scope document.",mandatory,yes,2,"Scope of the service","human-labelled deal-breaker: temporary infrastructure must be fulfilled"
g2,"The contractor must modify and refurbish all infrastructure on site so it is fit for the purposes outlined in the scope document.",mandatory,yes,2,"Scope of the service","human-labelled deal-breaker: modification and refurbishment are required"
g3,"The contractor must deliver an agreed solution without causing excessive disturbance to ongoing activities or operations on site.",mandatory,yes,2,"Scope of the service","human-labelled deal-breaker: excessive disturbance would fail the requirement"
g4,"The contractor must use circular economy building practices where possible, including reused materials or materials diverted from waste.",mandatory,yes,2,"Scope of the service","human-labelled deal-breaker: circular economy approach is required where possible"
g5,"The contractor must be able to deliver a temporary building solution.",mandatory,yes,7,"Aims and objectives","human-labelled deal-breaker from pages 7-8: bidder would be rejected if unable to do this"
g6,"The contractor must use circular economy building practices.",mandatory,yes,7,"Aims and objectives","human-labelled deal-breaker from pages 7-8: circular economy practice required"
g7,"The contractor must act with due consideration to the principles in the Resources and Waste Strategy for England and associated legislation.",mandatory,yes,7,"Aims and objectives","human-labelled deal-breaker from pages 7-8: bidder would be rejected if unable to do this"
g8,"The contractor must support WLWA's vision while providing industry-leading innovation and best practice.",mandatory,yes,7,"Aims and objectives","human-labelled deal-breaker from pages 7-8: bidder would be rejected if unable to do this"
g9,"The contractor must deliver all phases of the project by 30 September 2024.",mandatory,yes,9,"3.2 Contract terms","human-labelled deal-breaker: inability to deliver by the expected date means rejection"
g10,"Tenders must be submitted by email to procurement@westlondonwaste.gov.uk in accordance with the instructions in the ITT.",mandatory,yes,11,"6.1 Formalities","human-labelled deal-breaker: tender would not be reviewed if submitted elsewhere"
g11,"The tender must include an executive summary and introduction.",mandatory,yes,11,"6.2.1 Executive Summary","human-labelled deal-breaker: required part of the tender submission"
g12,"The tender must include responses to the method statements.",mandatory,yes,11,"6.2.2 Method Statement","human-labelled deal-breaker: method statement response is required"
g13,"The bidder must provide a completed pricing schedule; failure to do so will result in a fail.",mandatory,yes,12,"6.2.3 Pricing Schedule","no completed pricing schedule equals fail"
g14,"The bidder must provide at least two references.",mandatory,yes,12,"6.2.4 References","human-labelled deal-breaker: at least two references are required"
g15,"The bidder must complete the contractor vetting form for the bid to be considered.",mandatory,yes,12,"6.2.5 Contractor Vetting Form","bid will not be considered without the completed contractor vetting form"
g16,"The tender must include Annex 5, the WLWA Low Carbon Procurement Charter.",mandatory,yes,12,"6.2 Tender submission checklist","human-labelled deal-breaker: required document in final tender"
g17,"The tender must include Annex 7, the declaration documents.",mandatory,yes,12,"6.2 Tender submission checklist","human-labelled deal-breaker: required declaration documents in final tender"
g18,"Bidders must submit only one compliant solution.",mandatory,yes,12,"6.2 Tender submission checklist","human-labelled deal-breaker: one compliant solution is required"
g19,"Successful bidders will be required to sign WLWA's Climate Commitment Charter and consider how they measure and reduce carbon and GHG emissions.",mandatory,yes,12,"6.2.6 Climate Commitment Charter","human-labelled deal-breaker: successful bidder must sign the charter and support low-carbon objectives"
g20,"Bidders must write a summary of the social value generated within existing operations and state what initiatives and schemes will be adopted within the scope of this contract.",mandatory,yes,13,"6.3 Social value","human-labelled deal-breaker: social value response required"
g21,"Bidders must respond to all questions in the e-tendering response questionnaires and ensure answers are clear and concise.",mandatory,yes,14,"6.4 Assessment questions for completion by bidders","human-labelled deal-breaker: all questionnaire answers required"
g22,"All proposals contained in a tender must be capable of delivery and must have commitment from within the bidder's organisation.",mandatory,yes,14,"6.4 Assessment questions for completion by bidders","human-labelled deal-breaker: proposals must be deliverable and internally committed"
g23,"Bidders are not permitted to submit variant bids for the same contract to the Authority.",mandatory,yes,14,"6.4 Assessment questions for completion by bidders","human-labelled deal-breaker: variant bids are not permitted"
g24,"Bidders must identify whether subcontracting or consortium arrangements apply to their tender and precisely which entity they propose to be the contractor.",mandatory,yes,15,"6.5 Consortia and sub-contractors","human-labelled deal-breaker: subcontracting or consortium arrangements and contractor entity must be identified"
g25,"A bidder proposing to enter into a contract with WLWA must rely on its own enquiries and on the contract terms and conditions, subject to the limitations and restrictions specified.",mandatory,yes,15,"6.6 Warnings and disclaimers","human-labelled deal-breaker: bidder must rely on its own enquiries and contract terms"
g26,"Bidders must keep the contents of the ITT confidential and must not copy or reproduce it except as permitted.",mandatory,yes,15,"6.7 Confidentiality and freedom of information","human-labelled deal-breaker: confidentiality condition applies to the ITT"
g27,"Bidders are responsible for clearly identifying any confidential or commercially sensitive information to WLWA in the qualification questionnaire template.",mandatory,yes,15,"6.7 Confidentiality and freedom of information","human-labelled deal-breaker: confidential or commercially sensitive information must be identified"
g28,"No statements may be made to the media about any tender, its contents, or related proposals without WLWA's prior written consent.",mandatory,yes,15,"6.8 Publicity","human-labelled deal-breaker: media statements require prior written consent"
g29,"Any attempt by bidders or their advisers to influence the contract award process may result in the bidder being disqualified.",mandatory,yes,15,"6.9 Bidder conduct and conflicts of interest","explicit disqualification risk for influencing the award process"
g30,"WLWA may disqualify any bidder that does not submit a compliant tender in accordance with the instructions in this ITT.",mandatory,yes,16,"6.10 WLWA's rights","explicit disqualification risk for non-compliant tender"
g31,"WLWA may disqualify any bidder that is guilty of serious misrepresentation in relation to its tender, expression of interest, or the tender process.",mandatory,yes,16,"6.10 WLWA's rights","explicit disqualification risk for serious misrepresentation"
g32,"Bidders must submit a tender strictly in accordance with the requirements set out in the ITT; evasive, unclear or hedged tenders may be discounted and may be taken as a rejection.",mandatory,yes,17,"7 Tender evaluation model","human-labelled deal-breaker: evasive, unclear or hedged tenders may be rejected"
g33,"Bidders must submit method statements; any bidder that fails a qualification question will be eliminated from the process and the technical and commercial evaluations will not be considered.",mandatory,yes,17,"7.1 Procurement evaluation criteria","explicit elimination risk for failing a qualification question"
